id,games_year,name_from_roster,sport_from_roster
149121,2026,Grace Zumwinkle,Ice Hockey
157236,2026,Gwyneth Philips,Ice Hockey
157238,2026,Haley Winn,Ice Hockey
157227,2026,Hannah Bilka,Ice Hockey
149120,2026,Hayley Scamurra,Ice Hockey
119215,2026,Hilary Knight,Ice Hockey
157293,2026,J.T. Miller,Ice Hockey
157296,2026,Jaccob Slavin,Ice Hockey
2300991,2026,Jack Eichel,Ice Hockey
157319,2026,Jack Hughes,Ice Hockey
157289,2026,Jackson LaCombe,Ice Hockey
157284,2026,Jake Guentzel,Ice Hockey
157295,2026,Jake Oettinger,Ice Hockey
149142,2026,Jake Sanderson,Ice Hockey
157297,2026,Jeremy Swayman,Ice Hockey
157229,2026,Joy Dunne,Ice Hockey
138317,2026,Kelly Pannek,Ice Hockey
128730,2026,Kendall Coyne Schofield,Ice Hockey
157237,2026,Kirsten Simms,Ice Hockey
157283,2026,Kyle Connor,Ice Hockey
157230,2026,Laila Edwards,Ice Hockey
128737,2026,Lee Stecklein,Ice Hockey
157282,2026,Matt Boldy,Ice Hockey
157300,2026,Matthew Tkachuk,Ice Hockey
138315,2026,Megan Keller,Ice Hockey
157285,2026,Noah Hanifin,Ice Hockey
157287,2026,Quinn Hughes,Ice Hockey
157232,2026,Rory Guilday,Ice Hockey
157298,2026,Tage Thompson,Ice Hockey
157233,2026,Taylor Heise,Ice Hockey
157234,2026,Tessa Janecke,Ice Hockey
157301,2026,Vincent Trocheck,Ice Hockey
157302,2026,Zach Werenski,Ice Hockey
157303,2026,Ansel Haugsjaa,Luge
2302054,2026,Ashley Farquharson,Luge
157239,2026,Chevonne Forgan,Luge
138347,2026,Emily Fischnaller,Luge
149147,2026,Jonathan Gustafson,Luge
157304,2026,Marcus Mueller,Luge
139817,2026,Matthew Greiner,Luge
149148,2026,Sean Hollander,Luge
157240,2026,Sophia Kirkby,Luge
128750,2026,Summer Britcher,Luge
149146,2026,Zachary DiGregorio,Luge
138353,2026,Ben Loomis,Nordic Combined
139843,2026,Niklas Malacinski,Nordic Combined
149170,2026,Andrew Heo,Short Track Speed Skating
157316,2026,Brandon Kim,Short Track Speed Skating
157315,2026,Clayton DeClemente,Short Track Speed Skating
149169,2026,Corie Stoddard,Short Track Speed Skating
149166,2026,Eunice Lee,Short Track Speed Skating
149167,2026,Julie Letai,Short Track Speed Skating
157250,2026,Kamryn Lute,Short Track Speed Skating
149168,2026,Kristen Santos-Griswold,Short Track Speed Skating
157310,2026,Austin Florian,Skeleton
157309,2026,Dan Barefoot,Skeleton
149159,2026,Kelly Curtis,Skeleton
157247,2026,Mystique Ro,Skeleton
140047,2026,Annika Belshaw,Ski Jumping
1805696,2026,Jason Colby,Ski Jumping
