sport,event,athlete_id,athlete,position,medal,is_team_entry,games_year,position_num
Bobsleigh,"Monobob, Women",118672,Kaillie Humphries,3,Bronze,no,2026,3.0
Bobsleigh,"Monobob, Women",149069,Kaysha Love,7,,no,2026,7.0
Cross Country Skiing,"Sprint, Men",149085,Ben Ogden,2,Silver,no,2026,2.0
Cross Country Skiing,"Sprint, Men",149086,J. C. Schoonmaker,8,,no,2026,8.0
Cross Country Skiing,"Sprint, Men",157261,Zak Ketterson,28,,no,2026,28.0
Cross Country Skiing,"Sprint, Men",149087,Gus Schumacher,=31,,no,2026,
Cross Country Skiing,"10 kilometres, Men",157260,John Steel Hagenbuch,14,,no,2026,14.0
Cross Country Skiing,"10 kilometres, Men",157262,Zanden McMullen,32,,no,2026,32.0
Cross Country Skiing,"10 kilometres, Men",157261,Zak Ketterson,38,,no,2026,38.0
Cross Country Skiing,"10 kilometres, Men",149087,Gus Schumacher,39,,no,2026,39.0
Cross Country Skiing,"50 kilometres, Men",149087,Gus Schumacher,13,,no,2026,13.0
Cross Country Skiing,"50 kilometres, Men",2302020,Hunter Wonders,35,,no,2026,35.0
Cross Country Skiing,"50 kilometres, Men",149085,Ben Ogden,DNS,,no,2026,
Cross Country Skiing,"Skiathlon, Men",149087,Gus Schumacher,24,,no,2026,24.0
Cross Country Skiing,"Skiathlon, Men",2302020,Hunter Wonders,31,,no,2026,31.0
Cross Country Skiing,"Skiathlon, Men",157262,Zanden McMullen,36,,no,2026,36.0
Cross Country Skiing,"Skiathlon, Men",157261,Zak Ketterson,43,,no,2026,43.0
Cross Country Skiing,"Sprint, Women",149079,Julia Kern,6,,no,2026,6.0
Cross Country Skiing,"Sprint, Women",128689,Jessie Diggins,17,,no,2026,17.0
Cross Country Skiing,"Sprint, Women",157213,Sammy Smith,19,,no,2026,19.0
Cross Country Skiing,"Sprint, Women",157212,Lauren Jortberg,30,,no,2026,30.0
Cross Country Skiing,"10 kilometres, Women",128689,Jessie Diggins,3,Bronze,no,2026,3.0
Cross Country Skiing,"10 kilometres, Women",149081,Novie McCabe,31,,no,2026,31.0
Cross Country Skiing,"10 kilometres, Women",138909,Kendall Kramer,38,,no,2026,38.0
Cross Country Skiing,"10 kilometres, Women",149082,Hailey Swirbul,39,,no,2026,39.0
Cross Country Skiing,"50 kilometres, Women",128689,Jessie Diggins,5,,no,2026,5.0
Cross Country Skiing,"50 kilometres, Women",138267,Rosie Brennan,15,,no,2026,15.0
Cross Country Skiing,"50 kilometres, Women",149082,Hailey Swirbul,19,,no,2026,19.0
Cross Country Skiing,"50 kilometres, Women",138909,Kendall Kramer,26,,no,2026,26.0
Cross Country Skiing,"Skiathlon, Women",128689,Jessie Diggins,8,,no,2026,8.0
Cross Country Skiing,"Skiathlon, Women",149079,Julia Kern,24,,no,2026,24.0
