id,name,born,birthplace,url
157229,Joy Dunne,13 June 2005,"St. Louis, Missouri (USA)",https://www.olympedia.org/athletes/157229
128729,Alex Carpenter,13 April 1994,"Cambridge, Massachusetts (USA)",https://www.olympedia.org/athletes/128729
128730,Kendall Coyne Schofield,25 May 1992,"Oak Lawn, Illinois (USA)",https://www.olympedia.org/athletes/128730
157233,Taylor Heise,17 March 2000,"Lake City, Minnesota (USA)",https://www.olympedia.org/athletes/157233
149118,Abbey Murphy,14 April 2002,"Evergreen Park, Illinois (USA)",https://www.olympedia.org/athletes/149118
128737,Lee Stecklein,23 April 1994,"South St. Paul, Minnesota (USA)",https://www.olympedia.org/athletes/128737
138310,Cayla Barnes,7 January 1999,"Eastvale, California (USA)",https://www.olympedia.org/athletes/138310
149117,Caroline Harvey,14 October 2002,"Pelham, New Hampshire (USA)",https://www.olympedia.org/athletes/149117
138315,Megan Keller,1 May 1996,"Farmington, Michigan (USA)",https://www.olympedia.org/athletes/138315
157232,Rory Guilday,7 September 2002,"Chanhassen, Minnesota (USA)",https://www.olympedia.org/athletes/157232
157238,Haley Winn,14 July 2003,"Rochester, New York (USA)",https://www.olympedia.org/athletes/157238
157230,Laila Edwards,25 January 2004,"Cleveland Heights, Ohio (USA)",https://www.olympedia.org/athletes/157230
157235,Ava McNaughton,27 October 2004,"Wexford, Pennsylvania (USA)",https://www.olympedia.org/athletes/157235
157231,Aerin Frankel,24 May 1999,"New York, New York (USA)",https://www.olympedia.org/athletes/157231
157236,Gwyneth Philips,17 September 2000,"Athens, Ohio (USA)",https://www.olympedia.org/athletes/157236
149147,Jonathan Gustafson,5 March 1997,"Massena, New York (USA)",https://www.olympedia.org/athletes/149147
157304,Marcus Mueller,24 July 2005,"Brookfield, Wisconsin (USA)",https://www.olympedia.org/athletes/157304
157303,Ansel Haugsjaa,22 September 2004,"Framingham, Massachusetts (USA)",https://www.olympedia.org/athletes/157303
139817,Matthew Greiner,5 November 2003,"Abington, Pennsylvania (USA)",https://www.olympedia.org/athletes/139817
149146,Zachary DiGregorio,14 November 2001,"West Medway, Massachusetts (USA)",https://www.olympedia.org/athletes/149146
149148,Sean Hollander,11 February 2000,"Lake Placid, New York (USA)",https://www.olympedia.org/athletes/149148
2302054,Ashley Farquharson,16 March 1999,"Sacramento, California (USA)",https://www.olympedia.org/athletes/2302054
138347,Emily Fischnaller,16 March 1993,"Portland, Maine (USA)",https://www.olympedia.org/athletes/138347
128750,Summer Britcher,21 March 1994,"Baltimore, Maryland (USA)",https://www.olympedia.org/athletes/128750
