id,name,games_year,birth_date,birth_year,birth_month,birth_quarter,age_at_games,birthplace,sports,events_entered,medal_count,any_medal,any_gold,any_silver,any_bronze,best_position,has_individual_results
138364,Julia Marino,2022,1997-09-11,1997,9,3,24.4,"Yonkers, New York (USA)",Snowboarding,2,1,True,False,True,False,2.0,True
149167,Julie Letai,2022,2000-06-23,2000,6,2,21.62,"Medfield, Massachusetts (USA)",Short Track Speed Skating,1,0,False,False,False,False,21.0,True
149195,Justin Abdelkader,2022,1987-02-25,1987,2,1,34.94,"Muskegon, Michigan (USA)",Ice Hockey,0,0,False,False,False,False,,False
149103,Justin Schoenefeld,2022,1998-08-13,1998,8,3,23.48,"Erlanger, Kentucky (USA)",Freestyle Skiing,1,0,False,False,False,False,5.0,True
149096,Kai Owens,2022,2004-08-16,2004,8,3,17.47,"?, Anhui (CHN)",Freestyle Skiing,1,0,False,False,False,False,10.0,True
149093,Kaila Kuhn,2022,2003-04-08,2003,4,2,18.83,"Boyne City, Michigan (USA)",Freestyle Skiing,1,0,False,False,False,False,8.0,True
118672,Kaillie Humphries,2022,1985-09-04,1985,9,3,36.42,"Calgary, Alberta (CAN)",Bobsleigh,1,1,True,True,False,False,1.0,True
149109,Kaitlin Hawayek,2022,1996-11-04,1996,11,4,25.25,"Buffalo, New York (USA)",Figure Skating,0,0,False,False,False,False,,False
138301,Karen Chen,2022,1999-08-16,1999,8,3,22.47,"Fremont, California (USA)",Figure Skating,1,0,False,False,False,False,15.0,True
149061,Katie Hensien,2022,1999-12-01,1999,12,4,22.18,"Redmond, Washington (USA)",Alpine Skiing,1,0,False,False,False,False,26.0,True
110429,Katie Uhlaender,2022,1984-07-17,1984,7,3,37.55,"Vail, Colorado (USA)",Skeleton,1,0,False,False,False,False,6.0,True
149069,Kaysha Love,2022,1997-09-24,1997,9,3,24.36,"West Jordan, Utah (USA)",Bobsleigh,0,0,False,False,False,False,,False
2302012,Keely Cashman,2022,1999-04-04,1999,4,2,22.84,"Sonora, California (USA)",Alpine Skiing,3,0,False,False,False,False,17.0,True
149159,Kelly Curtis,2022,1989-01-25,1989,1,1,33.03,"Princeton, New Jersey (USA)",Skeleton,1,0,False,False,False,False,21.0,True
138317,Kelly Pannek,2022,1995-12-29,1995,12,4,26.1,"Minneapolis, Minnesota (USA)",Ice Hockey,0,0,False,False,False,False,,False
128730,Kendall Coyne Schofield,2022,1992-05-25,1992,5,2,29.7,"Oak Lawn, Illinois (USA)",Ice Hockey,0,0,False,False,False,False,,False
149123,Kenny Agostino,2022,1992-04-30,1992,4,2,29.77,"Morristown, New Jersey (USA)",Ice Hockey,0,0,False,False,False,False,,False
138357,Kevin Bickner,2022,1996-09-23,1996,9,3,25.37,"Lake Forest, Illinois (USA)",Ski Jumping,2,0,False,False,False,False,39.0,True
149083,Kevin Bolger,2022,1993-04-11,1993,4,2,28.82,"Minocqua, Wisconsin (USA)",Cross Country Skiing,1,0,False,False,False,False,17.0,True
149162,Kimi Goetz,2022,1994-08-13,1994,8,3,27.48,"Flemington, New Jersey (USA)",Speed Skating,2,0,False,False,False,False,7.0,True
149072,Kris Horn,2022,1994-04-25,1994,4,2,27.78,"Weymouth, Massachusetts (USA)",Bobsleigh,0,0,False,False,False,False,,False
149168,Kristen Santos,2022,1994-11-02,1994,11,4,27.26,"Fairfield, Connecticut (USA)",Short Track Speed Skating,3,0,False,False,False,False,4.0,True
128737,Lee Stecklein,2022,1994-04-23,1994,4,2,27.79,"South St. Paul, Minnesota (USA)",Ice Hockey,0,0,False,False,False,False,,False
128680,Leif Nordgren,2022,1989-05-18,1989,5,2,32.72,"Colorado Springs, Colorado (USA)",Biathlon,2,0,False,False,False,False,83.0,True
110950,Lindsey Jacobellis,2022,1985-08-19,1985,8,3,36.46,"Danbury, Connecticut (USA)",Snowboarding,1,1,True,True,False,False,1.0,True
149155,Lucas Foster,2022,1999-09-17,1999,9,3,22.38,"Telluride, Colorado (USA)",Snowboarding,1,0,False,False,False,False,17.0,True
149084,Luke Jager,2022,2000-01-17,2000,1,1,22.05,"Redding, California (USA)",Cross Country Skiing,1,0,False,False,False,False,25.0,True
149067,Luke Winters,2022,1997-04-02,1997,4,2,24.84,"Gresham, Oregon (USA)",Alpine Skiing,2,0,False,False,False,False,,True
138383,Maame Biney,2022,2000-01-28,2000,1,1,22.02,"Accra, Greater Accra (GHA)",Short Track Speed Skating,2,0,False,False,False,False,9.0,True
149099,Mac Forehand,2022,2001-08-04,2001,8,3,20.5,"Winhall, Vermont (USA)",Freestyle Skiing,2,0,False,False,False,False,11.0,True
138365,Maddie Mastro,2022,2000-02-22,2000,2,1,21.95,"Wrightwood, California (USA)",Snowboarding,1,0,False,False,False,False,13.0,True
138321,Maddie Rooney,2022,1997-07-07,1997,7,3,24.58,"Andover, Minnesota (USA)",Ice Hockey,0,0,False,False,False,False,,False
128718,Madison Chock,2022,1992-07-02,1992,7,3,29.59,"Redondo Beach, California (USA)",Figure Skating,0,0,False,False,False,False,,False
138302,Madison Hubbell,2022,1991-02-24,1991,2,1,30.95,"Lansing, Michigan (USA)",Figure Skating,0,0,False,False,False,False,,False
138292,Maggie Voisin,2022,1998-12-14,1998,12,4,23.14,"Whitefish, Montana (USA)",Freestyle Skiing,2,0,False,False,False,False,5.0,True
149136,Marc McLaughlin,2022,1999-07-26,1999,7,3,22.53,"North Billerica, Massachusetts (USA)",Ice Hockey,0,0,False,False,False,False,,False
149107,Mariah Bell,2022,1996-04-18,1996,4,2,25.8,"Tulsa, Oklahoma (USA)",Figure Skating,1,0,False,False,False,False,9.0,True
